,DATE,CORESTICKM159SFRBATL
0,2010-01-01,1.1770019
1,2010-02-01,1.0548474
2,2010-03-01,0.93183853
3,2010-04-01,0.87602978
4,2010-05-01,0.7998678
5,2010-06-01,0.78483473
6,2010-07-01,0.74959322
7,2010-08-01,0.69562861
8,2010-09-01,0.6676136
9,2010-10-01,0.67526624
10,2010-11-01,0.82600201
11,2010-12-01,0.83710132
12,2011-01-01,0.96003713
13,2011-02-01,1.1238816
14,2011-03-01,1.1861014
15,2011-04-01,1.21555
16,2011-05-01,1.2613949
17,2011-06-01,1.2990532
18,2011-07-01,1.4236275
19,2011-08-01,1.6569751
20,2011-09-01,1.7268145
21,2011-10-01,1.8413647
22,2011-11-01,1.8407168
23,2011-12-01,2.0478499
24,2012-01-01,2.1159285
25,2012-02-01,2.0181912
26,2012-03-01,2.1247577
27,2012-04-01,2.1937928
28,2012-05-01,2.1896843
29,2012-06-01,2.2407468
30,2012-07-01,2.2616531
31,2012-08-01,2.1718632
32,2012-09-01,2.2199385
33,2012-10-01,2.2070705
34,2012-11-01,2.1959869
35,2012-12-01,2.1097305
36,2013-01-01,2.0682971
37,2013-02-01,2.146017
38,2013-03-01,2.0999025
39,2013-04-01,1.9354319
40,2013-05-01,1.907797
41,2013-06-01,1.8766189
42,2013-07-01,1.867879
43,2013-08-01,1.9142202
44,2013-09-01,1.8904211
45,2013-10-01,1.8687356
46,2013-11-01,1.8930866
47,2013-12-01,1.8711904
48,2014-01-01,1.8218145
49,2014-02-01,1.7891863
50,2014-03-01,1.8208567
51,2014-04-01,2.0251612
52,2014-05-01,2.1282345
53,2014-06-01,2.1433409
54,2014-07-01,2.1008094
55,2014-08-01,1.9625042
56,2014-09-01,1.954047
57,2014-10-01,2.0060187
58,2014-11-01,2.0043657
59,2014-12-01,1.9711259
60,2015-01-01,1.985653
61,2015-02-01,1.9819969
62,2015-03-01,1.9991371
63,2015-04-01,2.0631236
64,2015-05-01,2.0668869
65,2015-06-01,2.1147326
66,2015-07-01,2.1414477
67,2015-08-01,2.1802398
68,2015-09-01,2.279431
69,2015-10-01,2.3462109
70,2015-11-01,2.4052606
71,2015-12-01,2.4436874
72,2016-01-01,2.4667222
73,2016-02-01,2.5442092
74,2016-03-01,2.531878
75,2016-04-01,2.537996
76,2016-05-01,2.5711572
77,2016-06-01,2.5689022
78,2016-07-01,2.5758512
79,2016-08-01,2.7228064
80,2016-09-01,2.6321032
81,2016-10-01,2.5095184
82,2016-11-01,2.5258013
83,2016-12-01,2.594944
84,2017-01-01,2.661562
85,2017-02-01,2.67446
86,2017-03-01,2.453344
87,2017-04-01,2.25217
88,2017-05-01,2.155911
89,2017-06-01,2.13853
90,2017-07-01,2.146769
91,2017-08-01,2.089832
92,2017-09-01,2.106697
93,2017-10-01,2.192819
94,2017-11-01,2.115031
95,2017-12-01,2.125472
96,2018-01-01,2.166829
97,2018-02-01,2.129934
98,2018-03-01,2.359611
99,2018-04-01,2.492147
100,2018-05-01,2.544964
101,2018-06-01,2.558656
102,2018-07-01,2.531541
103,2018-08-01,2.430733
104,2018-09-01,2.475069
105,2018-10-01,2.419846
106,2018-11-01,2.472599
107,2018-12-01,2.448984
108,2019-01-01,2.378344
109,2019-02-01,2.373979
110,2019-03-01,2.393918
111,2019-04-01,2.410959
112,2019-05-01,2.39962
113,2019-06-01,2.431727
114,2019-07-01,2.467932
115,2019-08-01,2.633395
116,2019-09-01,2.616559
117,2019-10-01,2.7342
118,2019-11-01,2.760463
119,2019-12-01,2.724503
120,2020-01-01,2.788599
121,2020-02-01,2.812655
122,2020-03-01,2.641068
123,2020-04-01,2.233555
124,2020-05-01,2.085757
125,2020-06-01,2.064379
126,2020-07-01,2.350691
127,2020-08-01,2.297196
128,2020-09-01,2.088195
129,2020-10-01,1.848308
130,2020-11-01,1.786708
131,2020-12-01,1.694452
132,2021-01-01,1.504532
133,2021-02-01,1.520784
134,2021-03-01,1.694673
135,2021-04-01,2.284027
136,2021-05-01,2.623896
137,2021-06-01,2.604632
138,2021-07-01,2.325734
139,2021-08-01,2.353165
140,2021-09-01,2.649506
141,2021-10-01,3.04294
142,2021-11-01,3.205069
143,2021-12-01,3.467011
144,2022-01-01,3.982987642
145,2022-02-01,4.297857761
146,2022-03-01,4.551814556
147,2022-04-01,4.723537922
148,2022-05-01,4.975575447
149,2022-06-01,5.425963402
