,DATE,T5YIE
371,2011-06-06,2.03
372,2011-06-07,2.04
373,2011-06-08,2.01
374,2011-06-09,2.03
375,2011-06-10,1.99
376,2011-06-13,1.99
377,2011-06-14,2.04
378,2011-06-15,1.99
379,2011-06-16,1.95
380,2011-06-17,1.9
381,2011-06-20,1.89
382,2011-06-21,1.91
383,2011-06-22,1.9
384,2011-06-23,1.81
385,2011-06-24,1.79
386,2011-06-27,1.8
387,2011-06-28,1.88
388,2011-06-29,2.0
389,2011-06-30,2.03
390,2011-07-01,2.05
391,2011-07-04,
392,2011-07-05,2.03
393,2011-07-06,2.03
394,2011-07-07,2.1
395,2011-07-08,2.01
396,2011-07-11,2.01
397,2011-07-12,2.01
398,2011-07-13,1.99
399,2011-07-14,1.98
400,2011-07-15,1.98
401,2011-07-18,2.0
402,2011-07-19,2.02
403,2011-07-20,2.01
404,2011-07-21,2.04
405,2011-07-22,2.03
406,2011-07-25,2.06
407,2011-07-26,2.01
408,2011-07-27,2.1
409,2011-07-28,2.11
410,2011-07-29,2.07
411,2011-08-01,2.07
412,2011-08-02,1.99
413,2011-08-03,1.87
414,2011-08-04,1.79
415,2011-08-05,1.82
416,2011-08-08,1.74
417,2011-08-09,1.75
418,2011-08-10,1.95
419,2011-08-11,1.86
420,2011-08-12,1.84
421,2011-08-15,1.8
422,2011-08-16,1.74
423,2011-08-17,1.73
424,2011-08-18,1.62
425,2011-08-19,1.7
426,2011-08-22,1.73
427,2011-08-23,1.66
428,2011-08-24,1.65
429,2011-08-25,1.68
430,2011-08-26,1.64
431,2011-08-29,1.67
432,2011-08-30,1.67
433,2011-08-31,1.72
434,2011-09-01,1.72
435,2011-09-02,1.72
436,2011-09-05,
437,2011-09-06,1.63
438,2011-09-07,1.67
439,2011-09-08,1.73
440,2011-09-09,1.65
441,2011-09-12,1.63
442,2011-09-13,1.61
443,2011-09-14,1.58
444,2011-09-15,1.73
445,2011-09-16,1.69
446,2011-09-19,1.61
447,2011-09-20,1.67
448,2011-09-21,1.66
449,2011-09-22,1.49
450,2011-09-23,1.48
451,2011-09-26,1.48
452,2011-09-27,1.57
453,2011-09-28,1.57
454,2011-09-29,1.54
455,2011-09-30,1.5
456,2011-10-03,1.48
457,2011-10-04,1.49
458,2011-10-05,1.5
459,2011-10-06,1.58
460,2011-10-07,1.63
461,2011-10-10,
462,2011-10-11,1.65
463,2011-10-12,1.67
464,2011-10-13,1.61
465,2011-10-14,1.66
466,2011-10-17,1.66
467,2011-10-18,1.72
468,2011-10-19,1.71
469,2011-10-20,1.72
470,2011-10-21,1.74
471,2011-10-24,1.76
472,2011-10-25,1.76
473,2011-10-26,1.83
474,2011-10-27,1.94
475,2011-10-28,1.93
476,2011-10-31,1.88
477,2011-11-01,1.82
478,2011-11-02,1.91
479,2011-11-03,1.91
480,2011-11-04,1.93
481,2011-11-07,1.94
482,2011-11-08,1.89
483,2011-11-09,1.87
484,2011-11-10,1.88
485,2011-11-11,
486,2011-11-14,1.84
487,2011-11-15,1.76
488,2011-11-16,1.68
489,2011-11-17,1.59
490,2011-11-18,1.64
491,2011-11-21,1.59
492,2011-11-22,1.6
493,2011-11-23,1.61
494,2011-11-24,
495,2011-11-25,1.64
496,2011-11-28,1.66
497,2011-11-29,1.7
498,2011-11-30,1.76
499,2011-12-01,1.76
500,2011-12-02,1.76
501,2011-12-05,1.77
502,2011-12-06,1.83
503,2011-12-07,1.71
504,2011-12-08,1.65
505,2011-12-09,1.64
506,2011-12-12,1.64
507,2011-12-13,1.65
508,2011-12-14,1.6
509,2011-12-15,1.61
510,2011-12-16,1.58
511,2011-12-19,1.64
512,2011-12-20,1.72
513,2011-12-21,1.7
514,2011-12-22,1.64
515,2011-12-23,1.68
516,2011-12-26,
517,2011-12-27,1.65
518,2011-12-28,1.63
519,2011-12-29,1.61
520,2011-12-30,1.59
521,2012-01-02,
522,2012-01-03,1.66
523,2012-01-04,1.71
524,2012-01-05,1.74
525,2012-01-06,1.71
526,2012-01-09,1.73
527,2012-01-10,1.7
528,2012-01-11,1.67
529,2012-01-12,1.69
530,2012-01-13,1.69
531,2012-01-16,
532,2012-01-17,1.7
533,2012-01-18,1.73
534,2012-01-19,1.75
535,2012-01-20,1.76
536,2012-01-23,1.77
537,2012-01-24,1.81
538,2012-01-25,1.83
539,2012-01-26,1.86
540,2012-01-27,1.88
541,2012-01-30,1.87
542,2012-01-31,1.88
543,2012-02-01,1.89
544,2012-02-02,1.89
545,2012-02-03,1.88
546,2012-02-06,1.91
547,2012-02-07,1.95
548,2012-02-08,1.91
549,2012-02-09,1.91
550,2012-02-10,1.88
551,2012-02-13,1.97
552,2012-02-14,1.92
553,2012-02-15,1.9
554,2012-02-16,1.93
555,2012-02-17,1.93
556,2012-02-20,
557,2012-02-21,1.98
558,2012-02-22,1.99
559,2012-02-23,2.04
560,2012-02-24,2.03
561,2012-02-27,2.02
562,2012-02-28,1.99
563,2012-02-29,1.99
564,2012-03-01,1.99
565,2012-03-02,1.95
566,2012-03-05,1.94
567,2012-03-06,1.92
568,2012-03-07,1.98
569,2012-03-08,2.01
570,2012-03-09,2.07
571,2012-03-12,2.06
572,2012-03-13,2.13
573,2012-03-14,2.15
574,2012-03-15,2.13
575,2012-03-16,2.12
576,2012-03-19,2.13
577,2012-03-20,2.15
578,2012-03-21,2.11
579,2012-03-22,2.06
580,2012-03-23,2.04
581,2012-03-26,2.02
582,2012-03-27,2.01
583,2012-03-28,2.03
584,2012-03-29,1.99
585,2012-03-30,2.02
586,2012-04-02,2.04
587,2012-04-03,2.04
588,2012-04-04,1.96
589,2012-04-05,1.95
590,2012-04-06,1.85
591,2012-04-09,1.84
592,2012-04-10,1.87
593,2012-04-11,1.95
594,2012-04-12,1.91
595,2012-04-13,1.91
596,2012-04-16,1.89
597,2012-04-17,1.91
598,2012-04-18,1.87
599,2012-04-19,1.91
600,2012-04-20,1.96
601,2012-04-23,1.95
602,2012-04-24,2.01
603,2012-04-25,2.02
604,2012-04-26,2.04
605,2012-04-27,2.06
606,2012-04-30,2.06
607,2012-05-01,2.06
608,2012-05-02,2.04
609,2012-05-03,2.01
610,2012-05-04,1.93
611,2012-05-07,1.94
612,2012-05-08,1.95
613,2012-05-09,1.94
614,2012-05-10,1.96
615,2012-05-11,1.91
616,2012-05-14,1.91
617,2012-05-15,1.92
618,2012-05-16,1.89
619,2012-05-17,1.87
620,2012-05-18,1.85
621,2012-05-21,1.86
622,2012-05-22,1.87
623,2012-05-23,1.8
624,2012-05-24,1.79
625,2012-05-25,1.78
626,2012-05-28,
627,2012-05-29,1.76
628,2012-05-30,1.71
629,2012-05-31,1.72
630,2012-06-01,1.65
631,2012-06-04,1.69
632,2012-06-05,1.71
633,2012-06-06,1.73
634,2012-06-07,1.77
635,2012-06-08,1.79
636,2012-06-11,1.79
637,2012-06-12,1.81
638,2012-06-13,1.8
639,2012-06-14,1.79
640,2012-06-15,1.86
641,2012-06-18,1.85
642,2012-06-19,1.87
643,2012-06-20,1.88
644,2012-06-21,1.77
645,2012-06-22,1.74
646,2012-06-25,1.7
647,2012-06-26,1.7
648,2012-06-27,1.68
649,2012-06-28,1.64
650,2012-06-29,1.72
651,2012-07-02,1.71
652,2012-07-03,1.77
653,2012-07-04,
654,2012-07-05,1.8
655,2012-07-06,1.76
656,2012-07-09,1.77
657,2012-07-10,1.79
658,2012-07-11,1.79
659,2012-07-12,1.76
660,2012-07-13,1.78
661,2012-07-16,1.78
662,2012-07-17,1.78
663,2012-07-18,1.79
664,2012-07-19,1.82
665,2012-07-20,1.77
666,2012-07-23,1.75
667,2012-07-24,1.7
668,2012-07-25,1.68
669,2012-07-26,1.71
670,2012-07-27,1.79
671,2012-07-30,1.78
672,2012-07-31,1.83
673,2012-08-01,1.85
674,2012-08-02,1.83
675,2012-08-03,1.87
676,2012-08-06,1.89
677,2012-08-07,1.95
678,2012-08-08,1.92
679,2012-08-09,1.92
680,2012-08-10,1.9
681,2012-08-13,1.9
682,2012-08-14,1.91
683,2012-08-15,1.89
684,2012-08-16,1.9
685,2012-08-17,1.86
686,2012-08-20,1.84
687,2012-08-21,1.86
688,2012-08-22,1.88
689,2012-08-23,1.96
690,2012-08-24,1.94
691,2012-08-27,1.97
692,2012-08-28,1.98
693,2012-08-29,1.95
694,2012-08-30,1.92
695,2012-08-31,1.95
696,2012-09-03,
697,2012-09-04,1.97
698,2012-09-05,1.98
699,2012-09-06,2.01
700,2012-09-07,2.03
701,2012-09-10,2.08
702,2012-09-11,2.11
703,2012-09-12,2.12
704,2012-09-13,2.23
705,2012-09-14,2.39
706,2012-09-17,2.31
707,2012-09-18,2.23
708,2012-09-19,2.19
709,2012-09-20,2.21
710,2012-09-21,2.18
711,2012-09-24,2.15
712,2012-09-25,2.15
713,2012-09-26,2.09
714,2012-09-27,2.11
715,2012-09-28,2.11
716,2012-10-01,2.11
717,2012-10-02,2.12
718,2012-10-03,2.18
719,2012-10-04,2.25
720,2012-10-05,2.28
721,2012-10-08,
722,2012-10-09,2.27
723,2012-10-10,2.23
724,2012-10-11,2.19
725,2012-10-12,2.15
726,2012-10-15,2.19
727,2012-10-16,2.18
728,2012-10-17,2.22
729,2012-10-18,2.22
730,2012-10-19,2.19
731,2012-10-22,2.18
732,2012-10-23,2.15
733,2012-10-24,2.13
734,2012-10-25,2.13
735,2012-10-26,2.08
736,2012-10-29,2.09
737,2012-10-30,
738,2012-10-31,2.12
739,2012-11-01,2.13
740,2012-11-02,2.12
741,2012-11-05,2.07
742,2012-11-06,2.12
743,2012-11-07,2.08
744,2012-11-08,2.07
745,2012-11-09,2.05
746,2012-11-12,
747,2012-11-13,2.04
748,2012-11-14,2.02
749,2012-11-15,2.0
750,2012-11-16,2.01
751,2012-11-19,2.03
752,2012-11-20,2.05
753,2012-11-21,2.05
754,2012-11-22,
755,2012-11-23,2.06
756,2012-11-26,2.04
757,2012-11-27,2.02
758,2012-11-28,1.99
759,2012-11-29,2.0
760,2012-11-30,2.01
761,2012-12-03,2.04
762,2012-12-04,2.04
763,2012-12-05,2.06
764,2012-12-06,2.06
765,2012-12-07,2.1
766,2012-12-10,2.05
767,2012-12-11,2.07
768,2012-12-12,2.12
769,2012-12-13,2.12
770,2012-12-14,2.11
771,2012-12-17,2.11
772,2012-12-18,2.14
773,2012-12-19,2.13
774,2012-12-20,2.16
775,2012-12-21,2.1
776,2012-12-24,2.13
777,2012-12-25,
778,2012-12-26,2.11
779,2012-12-27,2.11
780,2012-12-28,2.06
781,2012-12-31,2.09
782,2013-01-01,
783,2013-01-02,2.12
784,2013-01-03,2.11
785,2013-01-04,2.13
786,2013-01-07,2.16
787,2013-01-08,2.15
788,2013-01-09,2.18
789,2013-01-10,2.2
790,2013-01-11,2.18
791,2013-01-14,2.12
792,2013-01-15,2.2
793,2013-01-16,2.18
794,2013-01-17,2.19
795,2013-01-18,2.2
796,2013-01-21,
797,2013-01-22,2.15
798,2013-01-23,2.21
799,2013-01-24,2.22
800,2013-01-25,2.21
801,2013-01-28,2.24
802,2013-01-29,2.27
803,2013-01-30,2.26
804,2013-01-31,2.33
805,2013-02-01,2.34
806,2013-02-04,2.32
807,2013-02-05,2.32
808,2013-02-06,2.32
809,2013-02-07,2.29
810,2013-02-08,2.21
811,2013-02-11,2.26
812,2013-02-12,2.2
813,2013-02-13,2.26
814,2013-02-14,2.22
815,2013-02-15,2.19
816,2013-02-18,
817,2013-02-19,2.2
818,2013-02-20,2.19
819,2013-02-21,2.19
820,2013-02-22,2.2
821,2013-02-25,2.19
822,2013-02-26,2.18
823,2013-02-27,2.18
824,2013-02-28,2.18
825,2013-03-01,2.2
826,2013-03-04,2.22
827,2013-03-05,2.26
828,2013-03-06,2.27
829,2013-03-07,2.22
830,2013-03-08,2.18
831,2013-03-11,2.28
832,2013-03-12,2.27
833,2013-03-13,2.29
834,2013-03-14,2.31
835,2013-03-15,2.3
836,2013-03-18,2.26
837,2013-03-19,2.25
838,2013-03-20,2.25
839,2013-03-21,2.22
840,2013-03-22,2.23
841,2013-03-25,2.24
842,2013-03-26,2.21
843,2013-03-27,2.22
844,2013-03-28,2.24
845,2013-03-29,
846,2013-04-01,2.23
847,2013-04-02,2.22
848,2013-04-03,2.18
849,2013-04-04,2.13
850,2013-04-05,2.1
851,2013-04-08,2.14
852,2013-04-09,2.06
853,2013-04-10,2.1
854,2013-04-11,2.12
855,2013-04-12,2.11
856,2013-04-15,2.02
857,2013-04-16,2.02
858,2013-04-17,1.98
859,2013-04-18,2.0
860,2013-04-19,2.04
861,2013-04-22,2.04
862,2013-04-23,2.04
863,2013-04-24,2.07
864,2013-04-25,2.12
865,2013-04-26,2.11
866,2013-04-29,2.1
867,2013-04-30,2.06
868,2013-05-01,1.98
869,2013-05-02,1.99
870,2013-05-03,2.03
871,2013-05-06,2.05
872,2013-05-07,2.05
873,2013-05-08,2.03
874,2013-05-09,2.02
875,2013-05-10,2.05
876,2013-05-13,2.02
877,2013-05-14,2.03
878,2013-05-15,2.01
879,2013-05-16,1.97
880,2013-05-17,1.98
881,2013-05-20,2.0
882,2013-05-21,1.99
883,2013-05-22,1.97
884,2013-05-23,1.93
885,2013-05-24,1.93
886,2013-05-27,
887,2013-05-28,1.96
888,2013-05-29,1.91
889,2013-05-30,1.83
890,2013-05-31,1.87
891,2013-06-03,1.89
892,2013-06-04,1.92
893,2013-06-05,1.88
894,2013-06-06,1.87
895,2013-06-07,1.89
896,2013-06-10,1.85
897,2013-06-11,1.83
898,2013-06-12,1.81
899,2013-06-13,1.8
900,2013-06-14,1.82
901,2013-06-17,1.8
902,2013-06-18,1.84
903,2013-06-19,1.83
904,2013-06-20,1.74
905,2013-06-21,1.66
906,2013-06-24,1.62
907,2013-06-25,1.65
908,2013-06-26,1.67
909,2013-06-27,1.73
910,2013-06-28,1.76
911,2013-07-01,1.8
912,2013-07-02,1.82
913,2013-07-03,1.83
914,2013-07-04,
915,2013-07-05,1.87
916,2013-07-08,1.87
917,2013-07-09,1.86
918,2013-07-10,1.87
919,2013-07-11,1.82
920,2013-07-12,1.84
921,2013-07-15,1.86
922,2013-07-16,1.89
923,2013-07-17,1.9
924,2013-07-18,1.89
925,2013-07-19,1.91
926,2013-07-22,1.91
927,2013-07-23,1.9
928,2013-07-24,1.87
929,2013-07-25,1.83
930,2013-07-26,1.83
931,2013-07-29,1.81
932,2013-07-30,1.82
933,2013-07-31,1.87
934,2013-08-01,1.94
935,2013-08-02,1.91
936,2013-08-05,1.92
937,2013-08-06,1.94
938,2013-08-07,1.93
939,2013-08-08,1.9
940,2013-08-09,1.91
941,2013-08-12,1.91
942,2013-08-13,1.92
943,2013-08-14,1.86
944,2013-08-15,1.83
945,2013-08-16,1.79
946,2013-08-19,1.76
947,2013-08-20,1.78
948,2013-08-21,1.77
949,2013-08-22,1.77
950,2013-08-23,1.82
951,2013-08-26,1.82
952,2013-08-27,1.86
953,2013-08-28,1.85
954,2013-08-29,1.8
955,2013-08-30,1.78
956,2013-09-02,
957,2013-09-03,1.76
958,2013-09-04,1.74
959,2013-09-05,1.71
960,2013-09-06,1.71
961,2013-09-09,1.69
962,2013-09-10,1.74
963,2013-09-11,1.76
964,2013-09-12,1.75
965,2013-09-13,1.75
966,2013-09-16,1.76
967,2013-09-17,1.79
968,2013-09-18,1.84
969,2013-09-19,1.83
970,2013-09-20,1.85
971,2013-09-23,1.84
972,2013-09-24,1.77
973,2013-09-25,1.79
974,2013-09-26,1.77
975,2013-09-27,1.76
976,2013-09-30,1.74
977,2013-10-01,1.77
978,2013-10-02,1.8
979,2013-10-03,1.77
980,2013-10-04,1.79
981,2013-10-07,1.79
982,2013-10-08,1.76
983,2013-10-09,1.78
984,2013-10-10,1.81
985,2013-10-11,1.79
986,2013-10-14,
987,2013-10-15,1.79
988,2013-10-16,1.79
989,2013-10-17,1.77
990,2013-10-18,1.78
991,2013-10-21,1.79
992,2013-10-22,1.76
993,2013-10-23,1.76
994,2013-10-24,1.77
995,2013-10-25,1.77
996,2013-10-28,1.79
997,2013-10-29,1.76
998,2013-10-30,1.77
999,2013-10-31,1.74
1000,2013-11-01,1.7
1001,2013-11-04,1.71
1002,2013-11-05,1.72
1003,2013-11-06,1.77
1004,2013-11-07,1.76
1005,2013-11-08,1.77
1006,2013-11-11,
1007,2013-11-12,1.79
1008,2013-11-13,1.79
1009,2013-11-14,1.8
1010,2013-11-15,1.8
1011,2013-11-18,1.8
1012,2013-11-19,1.77
1013,2013-11-20,1.75
1014,2013-11-21,1.76
1015,2013-11-22,1.76
1016,2013-11-25,1.75
1017,2013-11-26,1.71
1018,2013-11-27,1.71
1019,2013-11-28,
1020,2013-11-29,1.69
1021,2013-12-02,1.7
1022,2013-12-03,1.69
1023,2013-12-04,1.64
1024,2013-12-05,1.66
1025,2013-12-06,1.65
1026,2013-12-09,1.63
1027,2013-12-10,1.64
1028,2013-12-11,1.65
1029,2013-12-12,1.65
1030,2013-12-13,1.66
1031,2013-12-16,1.68
1032,2013-12-17,1.69
1033,2013-12-18,1.67
1034,2013-12-19,1.75
1035,2013-12-20,1.64
1036,2013-12-23,1.67
1037,2013-12-24,1.68
1038,2013-12-25,
1039,2013-12-26,1.7
1040,2013-12-27,1.68
1041,2013-12-30,1.64
1042,2013-12-31,1.69
1043,2014-01-01,
1044,2014-01-02,1.71
1045,2014-01-03,1.69
1046,2014-01-06,1.75
1047,2014-01-07,1.83
1048,2014-01-08,1.76
1049,2014-01-09,1.83
1050,2014-01-10,1.75
1051,2014-01-13,1.71
1052,2014-01-14,1.76
1053,2014-01-15,1.72
1054,2014-01-16,1.74
1055,2014-01-17,1.72
1056,2014-01-20,
1057,2014-01-21,1.71
1058,2014-01-22,1.79
1059,2014-01-23,1.72
1060,2014-01-24,1.68
1061,2014-01-27,1.72
1062,2014-01-28,1.71
1063,2014-01-29,1.72
1064,2014-01-30,1.76
1065,2014-01-31,1.72
1066,2014-02-03,1.7
1067,2014-02-04,1.77
1068,2014-02-05,1.78
1069,2014-02-06,1.82
1070,2014-02-07,1.77
1071,2014-02-10,1.79
1072,2014-02-11,1.8
1073,2014-02-12,1.83
1074,2014-02-13,1.77
1075,2014-02-14,1.67
1076,2014-02-17,
1077,2014-02-18,1.79
1078,2014-02-19,1.78
