,DATE,T5YIE
0,2010-01-01,
1,2010-01-04,2.13
2,2010-01-05,2.12
3,2010-01-06,2.16
4,2010-01-07,2.19
5,2010-01-08,2.18
6,2010-01-11,2.12
7,2010-01-12,2.15
8,2010-01-13,2.13
9,2010-01-14,2.12
10,2010-01-15,2.1
11,2010-01-18,
12,2010-01-19,2.09
13,2010-01-20,2.09
14,2010-01-21,1.98
15,2010-01-22,1.95
16,2010-01-25,1.97
17,2010-01-26,1.97
18,2010-01-27,1.96
19,2010-01-28,1.94
20,2010-01-29,1.91
21,2010-02-01,1.99
22,2010-02-02,2.02
23,2010-02-03,2.05
24,2010-02-04,1.99
25,2010-02-05,1.89
26,2010-02-08,1.91
27,2010-02-09,1.94
28,2010-02-10,1.97
29,2010-02-11,1.96
30,2010-02-12,1.96
31,2010-02-15,
32,2010-02-16,1.95
33,2010-02-17,2.01
34,2010-02-18,2.02
35,2010-02-19,1.97
36,2010-02-22,1.92
37,2010-02-23,1.9
38,2010-02-24,1.9
39,2010-02-25,1.83
40,2010-02-26,1.83
41,2010-03-01,1.83
42,2010-03-02,1.83
43,2010-03-03,1.84
44,2010-03-04,1.84
45,2010-03-05,1.89
46,2010-03-08,1.87
47,2010-03-09,1.88
48,2010-03-10,1.91
49,2010-03-11,1.89
50,2010-03-12,1.93
51,2010-03-15,1.93
52,2010-03-16,1.92
53,2010-03-17,1.96
54,2010-03-18,1.92
55,2010-03-19,1.86
56,2010-03-22,1.82
57,2010-03-23,1.8
58,2010-03-24,1.89
59,2010-03-25,1.87
60,2010-03-26,1.86
61,2010-03-29,1.85
62,2010-03-30,1.83
63,2010-03-31,1.83
64,2010-04-01,1.85
65,2010-04-02,1.86
66,2010-04-05,1.92
67,2010-04-06,2.03
68,2010-04-07,2.04
69,2010-04-08,1.95
70,2010-04-09,1.97
71,2010-04-12,1.95
72,2010-04-13,1.93
73,2010-04-14,1.95
74,2010-04-15,1.96
75,2010-04-16,1.9
76,2010-04-19,1.91
77,2010-04-20,1.96
78,2010-04-21,1.95
79,2010-04-22,1.95
80,2010-04-23,1.99
81,2010-04-26,2.0
82,2010-04-27,2.0
83,2010-04-28,2.0
84,2010-04-29,2.06
85,2010-04-30,2.01
86,2010-05-03,2.0
87,2010-05-04,1.94
88,2010-05-05,1.89
89,2010-05-06,1.79
90,2010-05-07,1.75
91,2010-05-10,1.85
92,2010-05-11,1.86
93,2010-05-12,1.92
94,2010-05-13,1.89
95,2010-05-14,1.83
96,2010-05-17,1.81
97,2010-05-18,1.77
98,2010-05-19,1.7
99,2010-05-20,1.58
100,2010-05-21,1.61
101,2010-05-24,1.62
102,2010-05-25,1.57
103,2010-05-26,1.62
104,2010-05-27,1.72
105,2010-05-28,1.69
106,2010-05-31,
107,2010-06-01,1.68
108,2010-06-02,1.71
109,2010-06-03,1.77
110,2010-06-04,1.66
111,2010-06-07,1.64
112,2010-06-08,1.62
113,2010-06-09,1.63
114,2010-06-10,1.68
115,2010-06-11,1.65
116,2010-06-14,1.69
117,2010-06-15,1.68
118,2010-06-16,1.67
119,2010-06-17,1.68
120,2010-06-18,1.69
121,2010-06-21,1.71
122,2010-06-22,1.68
123,2010-06-23,1.64
124,2010-06-24,1.6
125,2010-06-25,1.61
126,2010-06-28,1.57
127,2010-06-29,1.54
128,2010-06-30,1.54
129,2010-07-01,1.48
130,2010-07-02,1.48
131,2010-07-05,
132,2010-07-06,1.41
133,2010-07-07,1.4
134,2010-07-08,1.43
135,2010-07-09,1.47
136,2010-07-12,1.48
137,2010-07-13,1.51
138,2010-07-14,1.48
139,2010-07-15,1.43
140,2010-07-16,1.36
141,2010-07-19,1.34
142,2010-07-20,1.32
143,2010-07-21,1.34
144,2010-07-22,1.37
145,2010-07-23,1.39
146,2010-07-26,1.4
147,2010-07-27,1.44
148,2010-07-28,1.46
149,2010-07-29,1.45
150,2010-07-30,1.43
151,2010-08-02,1.5
152,2010-08-03,1.51
153,2010-08-04,1.5
154,2010-08-05,1.5
155,2010-08-06,1.46
156,2010-08-09,1.48
157,2010-08-10,1.48
158,2010-08-11,1.43
159,2010-08-12,1.35
160,2010-08-13,1.34
161,2010-08-16,1.29
162,2010-08-17,1.28
163,2010-08-18,1.28
164,2010-08-19,1.22
165,2010-08-20,1.24
166,2010-08-23,1.21
167,2010-08-24,1.19
168,2010-08-25,1.21
169,2010-08-26,1.24
170,2010-08-27,1.27
171,2010-08-30,1.23
172,2010-08-31,1.19
173,2010-09-01,1.21
174,2010-09-02,1.2
175,2010-09-03,1.25
176,2010-09-06,
177,2010-09-07,1.24
178,2010-09-08,1.23
179,2010-09-09,1.29
180,2010-09-10,1.34
181,2010-09-13,1.34
182,2010-09-14,1.28
183,2010-09-15,1.29
184,2010-09-16,1.29
185,2010-09-17,1.25
186,2010-09-20,1.24
187,2010-09-21,1.29
188,2010-09-22,1.32
189,2010-09-23,1.29
190,2010-09-24,1.31
191,2010-09-27,1.29
192,2010-09-28,1.31
193,2010-09-29,1.3
194,2010-09-30,1.3
195,2010-10-01,1.33
196,2010-10-04,1.33
197,2010-10-05,1.4
198,2010-10-06,1.45
199,2010-10-07,1.41
200,2010-10-08,1.48
201,2010-10-11,
202,2010-10-12,1.48
203,2010-10-13,1.57
204,2010-10-14,1.67
205,2010-10-15,1.58
206,2010-10-18,1.53
207,2010-10-19,1.51
208,2010-10-20,1.48
209,2010-10-21,1.52
210,2010-10-22,1.56
211,2010-10-25,1.62
212,2010-10-26,1.63
213,2010-10-27,1.59
214,2010-10-28,1.52
215,2010-10-29,1.48
216,2010-11-01,1.51
217,2010-11-02,1.49
218,2010-11-03,1.51
219,2010-11-04,1.52
220,2010-11-05,1.57
221,2010-11-08,1.58
222,2010-11-09,1.58
223,2010-11-10,1.6
224,2010-11-11,
225,2010-11-12,1.57
226,2010-11-15,1.57
227,2010-11-16,1.49
228,2010-11-17,1.53
229,2010-11-18,1.57
230,2010-11-19,1.59
231,2010-11-22,1.58
232,2010-11-23,1.54
233,2010-11-24,1.59
234,2010-11-25,
235,2010-11-26,1.6
236,2010-11-29,1.58
237,2010-11-30,1.54
238,2010-12-01,1.6
239,2010-12-02,1.64
240,2010-12-03,1.62
241,2010-12-06,1.6
242,2010-12-07,1.67
243,2010-12-08,1.68
244,2010-12-09,1.65
245,2010-12-10,1.65
246,2010-12-13,1.66
247,2010-12-14,1.69
248,2010-12-15,1.77
249,2010-12-16,1.78
250,2010-12-17,1.75
251,2010-12-20,1.75
252,2010-12-21,1.77
253,2010-12-22,1.81
254,2010-12-23,1.83
255,2010-12-24,
256,2010-12-27,1.83
257,2010-12-28,1.84
258,2010-12-29,1.81
259,2010-12-30,1.82
260,2010-12-31,1.83
261,2011-01-03,1.82
262,2011-01-04,1.86
263,2011-01-05,1.94
264,2011-01-06,1.96
265,2011-01-07,1.91
266,2011-01-10,1.91
267,2011-01-11,2.0
268,2011-01-12,2.0
269,2011-01-13,1.95
270,2011-01-14,1.93
271,2011-01-17,
272,2011-01-18,1.95
273,2011-01-19,1.94
274,2011-01-20,1.9
275,2011-01-21,1.92
276,2011-01-24,1.93
277,2011-01-25,1.94
278,2011-01-26,1.96
279,2011-01-27,1.9
280,2011-01-28,1.93
281,2011-01-31,1.96
282,2011-02-01,2.01
283,2011-02-02,2.01
284,2011-02-03,2.0
285,2011-02-04,1.99
286,2011-02-07,1.98
287,2011-02-08,1.95
288,2011-02-09,1.94
289,2011-02-10,1.92
290,2011-02-11,1.88
291,2011-02-14,1.86
292,2011-02-15,1.91
293,2011-02-16,1.94
294,2011-02-17,1.97
295,2011-02-18,2.04
296,2011-02-21,
297,2011-02-22,2.09
298,2011-02-23,2.2
299,2011-02-24,2.2
300,2011-02-25,2.17
301,2011-02-28,2.15
302,2011-03-01,2.17
303,2011-03-02,2.25
304,2011-03-03,2.27
305,2011-03-04,2.24
306,2011-03-07,2.26
307,2011-03-08,2.31
308,2011-03-09,2.25
309,2011-03-10,2.22
310,2011-03-11,2.17
311,2011-03-14,2.15
312,2011-03-15,2.16
313,2011-03-16,2.09
314,2011-03-17,2.18
315,2011-03-18,2.18
316,2011-03-21,2.2
317,2011-03-22,2.19
318,2011-03-23,2.16
319,2011-03-24,2.22
320,2011-03-25,2.19
321,2011-03-28,2.18
322,2011-03-29,2.2
323,2011-03-30,2.19
324,2011-03-31,2.21
325,2011-04-01,2.25
326,2011-04-04,2.29
327,2011-04-05,2.32
328,2011-04-06,2.34
329,2011-04-07,2.33
330,2011-04-08,2.38
331,2011-04-11,2.38
332,2011-04-12,2.32
333,2011-04-13,2.3
334,2011-04-14,2.25
335,2011-04-15,2.23
336,2011-04-18,2.19
337,2011-04-19,2.24
338,2011-04-20,2.27
339,2011-04-21,2.29
340,2011-04-22,
341,2011-04-25,2.3
342,2011-04-26,2.32
343,2011-04-27,2.37
344,2011-04-28,2.41
345,2011-04-29,2.45
346,2011-05-02,2.44
347,2011-05-03,2.42
348,2011-05-04,2.41
349,2011-05-05,2.28
350,2011-05-06,2.25
351,2011-05-09,2.29
352,2011-05-10,2.31
353,2011-05-11,2.2
354,2011-05-12,2.2
355,2011-05-13,2.15
356,2011-05-16,2.12
357,2011-05-17,2.08
358,2011-05-18,2.14
359,2011-05-19,2.1
360,2011-05-20,2.07
361,2011-05-23,2.03
362,2011-05-24,2.07
363,2011-05-25,2.08
364,2011-05-26,2.06
365,2011-05-27,2.03
366,2011-05-30,
367,2011-05-31,2.0
368,2011-06-01,1.99
369,2011-06-02,2.02
370,2011-06-03,2.03
