,DATE,LNS14027660
0,2010-01-01,10.2
1,2010-02-01,10.7
2,2010-03-01,11.0
3,2010-04-01,10.8
4,2010-05-01,10.9
5,2010-06-01,10.6
6,2010-07-01,10.0
7,2010-08-01,10.0
8,2010-09-01,9.7
9,2010-10-01,9.8
10,2010-11-01,10.0
11,2010-12-01,9.8
12,2011-01-01,9.5
13,2011-02-01,9.7
14,2011-03-01,9.7
15,2011-04-01,9.9
16,2011-05-01,9.6
17,2011-06-01,10.0
18,2011-07-01,9.1
19,2011-08-01,9.3
20,2011-09-01,9.4
21,2011-10-01,9.4
22,2011-11-01,8.8
23,2011-12-01,8.7
24,2012-01-01,8.5
25,2012-02-01,8.3
26,2012-03-01,8.1
27,2012-04-01,8.0
28,2012-05-01,8.3
29,2012-06-01,8.6
30,2012-07-01,8.5
31,2012-08-01,8.6
32,2012-09-01,8.5
33,2012-10-01,8.3
34,2012-11-01,8.0
35,2012-12-01,8.0
36,2013-01-01,8.1
37,2013-02-01,7.9
38,2013-03-01,7.7
39,2013-04-01,7.5
40,2013-05-01,7.3
41,2013-06-01,7.7
42,2013-07-01,7.5
43,2013-08-01,7.4
44,2013-09-01,7.6
45,2013-10-01,7.2
46,2013-11-01,7.2
47,2013-12-01,7.0
48,2014-01-01,6.5
49,2014-02-01,6.4
50,2014-03-01,6.3
51,2014-04-01,6.2
52,2014-05-01,6.5
53,2014-06-01,5.9
54,2014-07-01,6.1
55,2014-08-01,6.1
56,2014-09-01,5.4
57,2014-10-01,5.7
58,2014-11-01,5.7
59,2014-12-01,5.3
60,2015-01-01,5.4
61,2015-02-01,5.4
62,2015-03-01,5.3
63,2015-04-01,5.5
64,2015-05-01,5.8
65,2015-06-01,5.4
66,2015-07-01,5.5
67,2015-08-01,5.5
68,2015-09-01,5.3
69,2015-10-01,5.2
70,2015-11-01,5.4
71,2015-12-01,5.6
72,2016-01-01,5.1
73,2016-02-01,5.1
74,2016-03-01,5.3
75,2016-04-01,5.5
76,2016-05-01,5.1
77,2016-06-01,5.1
78,2016-07-01,5.1
79,2016-08-01,5.0
80,2016-09-01,5.2
81,2016-10-01,5.5
82,2016-11-01,5.0
83,2016-12-01,5.1
84,2017-01-01,5.2
85,2017-02-01,4.9
86,2017-03-01,4.9
87,2017-04-01,4.6
88,2017-05-01,4.7
89,2017-06-01,4.5
90,2017-07-01,4.5
91,2017-08-01,5.0
92,2017-09-01,4.3
93,2017-10-01,4.2
94,2017-11-01,4.4
95,2017-12-01,4.2
96,2018-01-01,4.5
97,2018-02-01,4.5
98,2018-03-01,4.3
99,2018-04-01,4.3
100,2018-05-01,3.9
101,2018-06-01,4.0
102,2018-07-01,4.0
103,2018-08-01,3.9
104,2018-09-01,3.7
105,2018-10-01,4.0
106,2018-11-01,3.5
107,2018-12-01,3.8
108,2019-01-01,3.8
109,2019-02-01,3.8
110,2019-03-01,3.7
111,2019-04-01,3.4
112,2019-05-01,3.5
113,2019-06-01,3.8
114,2019-07-01,3.6
115,2019-08-01,3.5
116,2019-09-01,3.5
117,2019-10-01,3.7
118,2019-11-01,3.7
119,2019-12-01,3.7
120,2020-01-01,3.9
121,2020-02-01,3.7
122,2020-03-01,4.4
123,2020-04-01,17.6
124,2020-05-01,15.8
125,2020-06-01,12.2
126,2020-07-01,10.7
127,2020-08-01,9.7
128,2020-09-01,9.1
129,2020-10-01,8.2
130,2020-11-01,7.9
131,2020-12-01,7.9
132,2021-01-01,7.1
133,2021-02-01,7.1
134,2021-03-01,6.6
135,2021-04-01,6.9
136,2021-05-01,6.9
137,2021-06-01,6.9
138,2021-07-01,6.2
139,2021-08-01,5.9
140,2021-09-01,5.7
141,2021-10-01,5.4
142,2021-11-01,5.2
143,2021-12-01,4.6
144,2022-01-01,4.6
145,2022-02-01,4.5
146,2022-03-01,4.0
147,2022-04-01,3.8
148,2022-05-01,3.8
149,2022-06-01,3.6
150,2022-07-01,3.6
