,DATE,UNRATE
0,2010-01-01,9.8
1,2010-02-01,9.8
2,2010-03-01,9.9
3,2010-04-01,9.9
4,2010-05-01,9.6
5,2010-06-01,9.4
6,2010-07-01,9.4
7,2010-08-01,9.5
8,2010-09-01,9.5
9,2010-10-01,9.4
10,2010-11-01,9.8
11,2010-12-01,9.3
12,2011-01-01,9.1
13,2011-02-01,9.0
14,2011-03-01,9.0
15,2011-04-01,9.1
16,2011-05-01,9.0
17,2011-06-01,9.1
18,2011-07-01,9.0
19,2011-08-01,9.0
20,2011-09-01,9.0
21,2011-10-01,8.8
22,2011-11-01,8.6
23,2011-12-01,8.5
24,2012-01-01,8.3
25,2012-02-01,8.3
26,2012-03-01,8.2
27,2012-04-01,8.2
28,2012-05-01,8.2
29,2012-06-01,8.2
30,2012-07-01,8.2
31,2012-08-01,8.1
32,2012-09-01,7.8
33,2012-10-01,7.8
34,2012-11-01,7.7
35,2012-12-01,7.9
36,2013-01-01,8.0
37,2013-02-01,7.7
38,2013-03-01,7.5
39,2013-04-01,7.6
40,2013-05-01,7.5
41,2013-06-01,7.5
42,2013-07-01,7.3
43,2013-08-01,7.2
44,2013-09-01,7.2
45,2013-10-01,7.2
46,2013-11-01,6.9
47,2013-12-01,6.7
48,2014-01-01,6.6
49,2014-02-01,6.7
50,2014-03-01,6.7
51,2014-04-01,6.2
52,2014-05-01,6.3
53,2014-06-01,6.1
54,2014-07-01,6.2
55,2014-08-01,6.1
56,2014-09-01,5.9
57,2014-10-01,5.7
58,2014-11-01,5.8
59,2014-12-01,5.6
60,2015-01-01,5.7
61,2015-02-01,5.5
62,2015-03-01,5.4
63,2015-04-01,5.4
64,2015-05-01,5.6
65,2015-06-01,5.3
66,2015-07-01,5.2
67,2015-08-01,5.1
68,2015-09-01,5.0
69,2015-10-01,5.0
70,2015-11-01,5.1
71,2015-12-01,5.0
72,2016-01-01,4.8
73,2016-02-01,4.9
74,2016-03-01,5.0
75,2016-04-01,5.1
76,2016-05-01,4.8
77,2016-06-01,4.9
78,2016-07-01,4.8
79,2016-08-01,4.9
80,2016-09-01,5.0
81,2016-10-01,4.9
82,2016-11-01,4.7
83,2016-12-01,4.7
84,2017-01-01,4.7
85,2017-02-01,4.6
86,2017-03-01,4.4
87,2017-04-01,4.4
88,2017-05-01,4.4
89,2017-06-01,4.3
90,2017-07-01,4.3
91,2017-08-01,4.4
92,2017-09-01,4.3
93,2017-10-01,4.2
94,2017-11-01,4.2
95,2017-12-01,4.1
96,2018-01-01,4.0
97,2018-02-01,4.1
98,2018-03-01,4.0
99,2018-04-01,4.0
100,2018-05-01,3.8
101,2018-06-01,4.0
102,2018-07-01,3.8
103,2018-08-01,3.8
104,2018-09-01,3.7
105,2018-10-01,3.8
106,2018-11-01,3.8
107,2018-12-01,3.9
108,2019-01-01,4.0
109,2019-02-01,3.8
110,2019-03-01,3.8
111,2019-04-01,3.6
112,2019-05-01,3.6
113,2019-06-01,3.6
114,2019-07-01,3.7
115,2019-08-01,3.7
116,2019-09-01,3.5
117,2019-10-01,3.6
118,2019-11-01,3.6
119,2019-12-01,3.6
120,2020-01-01,3.5
121,2020-02-01,3.5
122,2020-03-01,4.4
123,2020-04-01,14.7
124,2020-05-01,13.2
125,2020-06-01,11.0
126,2020-07-01,10.2
127,2020-08-01,8.4
128,2020-09-01,7.9
129,2020-10-01,6.9
130,2020-11-01,6.7
131,2020-12-01,6.7
132,2021-01-01,6.4
133,2021-02-01,6.2
134,2021-03-01,6.0
135,2021-04-01,6.0
136,2021-05-01,5.8
137,2021-06-01,5.9
138,2021-07-01,5.4
139,2021-08-01,5.2
140,2021-09-01,4.7
141,2021-10-01,4.6
142,2021-11-01,4.2
143,2021-12-01,3.9
144,2022-01-01,4.0
145,2022-02-01,3.8
146,2022-03-01,3.6
147,2022-04-01,3.6
148,2022-05-01,3.6
149,2022-06-01,3.6
150,2022-07-01,3.5
